Comment,Designator,Footprint,LCSC
15k,R23,R_0402_1005Metric,C102812
5k,"R14,R18,R19,R20,R21,R24,R25,R32,R33,R34,R35,R36,R37,R39",R_0402_1005Metric,C105873
AMS1117-3.3,U12,SOT_AMS_ADS,C110474
SM05T1G,U7,SOT-23_ONS,C111172
1k,"R11,R38,R9",R_0402_1005Metric,C11702
AP358SG-13,U6,SOP-8L_DIO,C128760
10u,"C15,C21,C23,C25,C32",C_0402_1005Metric,C15525
ADS1015IDGSR,"U4,U8",DGS0010A_N,C193969
0.1uF,"C1,C11,C12,C16,C19,C2,C20,C24,C33,C45,C55,C56",C_0402_1005Metric,C2167244
20,"R3,R4",R_0402_1005Metric,C25089
33k,R22,R_0402_1005Metric,C25779
1M,"R47,R48",R_0402_1005Metric,C26083
TLV74010PDQNR,U5,SOT_PDQNR_TEX,C2995549
WM8904CGEFL/V,U1,QFN32_4X4_CIR,C323845
100p,"C27,C31",C_0402_1005Metric,C327198
160p,"C47,C48,C49,C50,C51,C52,C53,C54",C_0402_1005Metric,C363530
22u,"C18,C34",C_0402_1005Metric,C415703
FSA2466UMX,U13,UMLP16_1P8X2P6_ONS,C457657
100n,C14,C_0402_1005Metric,C541464
0,"R5,R7",R_0402_1005Metric,C60485
2k,"R1,R2,R26,R27,R28,R29,R30,R31",R_0402_1005Metric,C60488
10k,"R40,R41,R42,R43,R44,R45,R46",R_0402_1005Metric,C60490
AMS1117-ADJ,U3,SOT_AMS_ADS,C6188
10p,"C26,C28",C_0402_1005Metric,C76946
2.2uF,"C6,C7,C8",C_0402_1005Metric,C77002
4.7u,"C10,C29,C3,C30,C4,C9",C_0402_1005Metric,C82453
1u,"C13,C17,C22,C5",C_0402_1005Metric,C88945
W25Q128JVSIQ TR,U9,SOIC_208MIL_WIN,C97521
DMP2160UW-7,Q1,SOT-323_SC-70_Handsoldering,C99272
