Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,25.1578,20.32,0.0,top
C2,0.1uF,C_0402_1005Metric,26.3558,13.143199,-90.0,top
C3,4.7uF,C_0402_1005Metric,27.4558,13.143199,-90.0,top
C4,4.7uF,C_0402_1005Metric,25.2558,13.111,-90.0,top
C5,1u,C_0402_1005Metric,5.943,12.192,0.0,top
C6,2.2uF,C_0402_1005Metric,29.21,16.101,-90.0,top
C7,2.2uF,C_0402_1005Metric,28.829,17.935,90.0,top
C8,2.2uF,C_0402_1005Metric,28.7,13.143199,90.0,top
C9,4.7u,C_0402_1005Metric,41.8289,10.1854,0.0,top
C10,4.7u,C_0402_1005Metric,41.8719,18.704001,0.0,top
C11,0.1uF,C_0402_1005Metric,39.7409,10.1854,0.0,top
C12,0.1uF,C_0402_1005Metric,39.8399,18.704001,0.0,top
C13,1u,C_0402_1005Metric,7.863,16.787,-90.0,top
C14,100n,C_0402_1005Metric,5.588,16.792,-90.0,top
C15,10u,C_0402_1005Metric,49.2912,28.8158,0.0,top
C16,0.1u,C_0402_1005Metric,49.286,27.7998,0.0,top
C17,1u,C_0402_1005Metric,40.154,22.658,90.0,top
C18,22u,C_0402_1005Metric,49.286,25.5998,0.0,top
C19,0.1u,C_0402_1005Metric,49.2886,26.6412,0.0,top
C20,0.1u,C_0402_1005Metric,40.154,24.618,-90.0,top
C21,10u,C_0402_1005Metric,44.316,26.7498,180.0,top
C22,1u,C_0402_1005Metric,6.181,20.3,0.0,top
C23,10u,C_0402_1005Metric,41.254,24.618,-90.0,top
C24,0.1u,C_0402_1005Metric,11.897,21.562,90.0,top
C25,10u,C_0402_1005Metric,10.797,21.562,90.0,top
C26,10p,C_0402_1005Metric,6.197,21.59,180.0,top
C27,100p,C_0402_1005Metric,8.511,22.87,0.0,top
C28,10p,C_0402_1005Metric,5.999,10.668,180.0,top
C29,4.7u,C_0402_1005Metric,6.181,24.15,0.0,top
C30,4.7u,C_0402_1005Metric,5.943,7.62,0.0,top
C31,100p,C_0402_1005Metric,8.285,9.144,0.0,top
C32,10u,C_0402_1005Metric,40.6912,27.6568,180.0,top
C33,0.1u,C_0402_1005Metric,40.686,28.7998,180.0,top
C34,22u,C_0402_1005Metric,36.8686,27.6838,180.0,top
C45,0.1u,C_0402_1005Metric,36.866,28.6998,180.0,top
C47,160p,C_0402_1005Metric,5.690998,35.125001,-90.0,top
C48,160p,C_0402_1005Metric,4.595998,35.150001,-90.0,top
C49,160p,C_0402_1005Metric,13.455998,35.010001,-90.0,top
C50,160p,C_0402_1005Metric,12.365998,35.055001,-90.0,top
C51,160p,C_0402_1005Metric,2.640998,35.150001,-90.0,top
C52,160p,C_0402_1005Metric,1.547998,35.150001,-90.0,top
C53,160p,C_0402_1005Metric,9.375998,35.055001,-90.0,top
C54,160p,C_0402_1005Metric,10.465998,35.045001,-90.0,top
C55,0.1u,C_0402_1005Metric,6.096,30.0,90.0,top
C56,0.1u,C_0402_1005Metric,14.224,29.436,90.0,top
Q1,DMP2160UW-7,SOT-323_SC-70_Handsoldering,31.2512,43.3728,0.0,top
R1,2k,R_0402_1005Metric,5.700998,37.131001,-90.0,top
R2,2k,R_0402_1005Metric,4.595998,37.156001,-90.0,top
R3,20,R_0402_1005Metric,39.7709,11.3284,0.0,top
R4,20,R_0402_1005Metric,39.8139,17.561001,0.0,top
R5,0,R_0402_1005Metric,21.7142,18.113,180.0,top
R7,0,R_0402_1005Metric,21.8412,19.256,180.0,top
R9,1k,R_0402_1005Metric,8.511,24.15,0.0,top
R11,1k,R_0402_1005Metric,8.255,7.62,0.0,top
R14,5k,R_0402_1005Metric,21.4,42.402,90.0,top
R18,5k,R_0402_1005Metric,24.5794,39.842,0.0,top
R19,5k,R_0402_1005Metric,24.6048,38.699,0.0,top
R20,5k,R_0402_1005Metric,32.639,49.278,90.0,top
R21,5k,R_0402_1005Metric,15.748,52.832,90.0,top
R22,33k,R_0402_1005Metric,44.376,28.8498,180.0,top
R23,15k,R_0402_1005Metric,44.326,27.7998,180.0,top
R24,5k,R_0402_1005Metric,15.367,24.257,0.0,top
R25,5k,R_0402_1005Metric,15.367,25.527,0.0,top
R26,2k,R_0402_1005Metric,13.465998,37.010001,-90.0,top
R27,2k,R_0402_1005Metric,12.365998,37.035001,-90.0,top
R28,2k,R_0402_1005Metric,2.640998,37.156001,-90.0,top
R29,2k,R_0402_1005Metric,1.547998,37.156001,-90.0,top
R30,2k,R_0402_1005Metric,9.375998,37.055001,-90.0,top
R31,2k,R_0402_1005Metric,10.465998,37.045001,-90.0,top
R32,5k,R_0402_1005Metric,15.748,55.187,-90.0,top
R33,5k,R_0402_1005Metric,15.748,70.36,-90.0,top
R34,5k,R_0402_1005Metric,35.1,40.137,-90.0,top
R35,5k,R_0402_1005Metric,35.0,55.137,-90.0,top
R36,5k,R_0402_1005Metric,17.3,63.962,-90.0,top
R37,5k,R_0402_1005Metric,35.0,70.137,-90.0,top
R38,1k,R_0402_1005Metric,21.4,44.452,90.0,top
R39,5k,R_0402_1005Metric,29.8112,41.4228,0.0,top
R40,10k,R_0402_1005Metric,32.2312,41.4228,180.0,top
R41,10k,R_0402_1005Metric,8.255,12.192,0.0,top
R42,10k,R_0402_1005Metric,6.989,13.462,0.0,top
R43,10k,R_0402_1005Metric,9.144,16.762,90.0,top
R44,10k,R_0402_1005Metric,6.713,16.797,90.0,top
R45,10k,R_0402_1005Metric,7.106,19.1,0.0,top
R46,10k,R_0402_1005Metric,8.511,20.3,0.0,top
R47,1M,R_0402_1005Metric,6.031,9.144,0.0,top
R48,1M,R_0402_1005Metric,6.181,22.863334,0.0,top
U1,WM8904CGEFL/V,QFN32_4X4_CIR,25.4,16.891,90.0,top
U3,AMS1117-ADJ,SOT_AMS_ADS,46.486,33.7439,0.0,top
U4,ADS1015IDGSR,DGS0010A_N,3.615998,29.805001,-90.0,top
U5,TLV74010PDQNR,SOT_PDQNR_TEX,37.754,23.838,-90.0,top
U6,AP358SG-13,SOP-8L_DIO,13.081,16.51,90.0,top
U7,SM05T1G,SOT-23_ONS,2.4605,23.716,180.0,top
U8,ADS1015IDGSR,DGS0010A_N,11.765998,29.455001,-90.0,top
U9,W25Q128JVSIQ TR,SOIC_208MIL_WIN,25.908,33.147,90.0,top
U12,AMS1117-3.3,SOT_AMS_ADS,38.886,33.7439,0.0,top
U13,FSA2466UMX,UMLP16_1P8X2P6_ONS,41.8719,14.767001,180.0,top
